gene,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
ABCG5,0.117294417,0.271451,0.1,0.1,0.1,0.2382419
ABCG8,0.1,0.1,0.1,0.1,0.1,0.082985475
ABHD1,0.155276667,0.1,0.1,0.1,0.163935,0.1
ABHD10,6.4553225,11.6653,7.401412,1.9,1.35708,2.6559925
ABHD11,1.48351275,0.636335,0.4917216,2.0,0.698271,0.54554925
ABHD11-AS1,0.10626025,0.1,0.1,0.1,0.1,0.1
ABHD12,1.500293167,2.12551,2.025736,2.3,1.156213,0.46887725
ABHD12B,0.173672583,0.1,1.5794538,0.3,0.1,0.537945
ABHD13,0.84627575,2.42033,1.2003498,2.0,0.7531415,0.5197295
ABHD14A,1.180121333,0.257937,0.2142986,0.2,0.5191555,0.38877075
ABHD14A-ACY1,0.1,0.1,0.1,0.1,0.1,0.1
ABHD14B,0.916379167,0.127923,0.6319072,1.5,2.44234,0.2346789
ABHD15,1.20682425,0.1,0.5105368,2.5,0.1,0.06376805
ABHD16A,0.313423417,0.25308,0.2290776,0.3,0.109261,0.086361225
ABHD16A,0.316048,0.25308,0.2314942,0.3,0.109261,0.08750605
ABHD16A,0.31807625,0.25308,0.2311156,0.3,0.1,0.08750605
ABHD16A,0.315168167,0.25308,0.2316662,0.3,0.1,0.0880441
ABHD16A,0.308622167,0.25308,0.228447,0.3,0.1,0.0880441
ABHD16A,0.309099917,0.25308,0.2294746,0.3,0.1,0.09214655
ABHD16A,0.305737667,0.25308,0.2314218,0.3,0.1,0.09406255
ABHD16B,0.102204917,0.1,0.1,0.1,0.1,0.09118235
ABHD2,19.387325,9.27853,18.794184,4.0,5.069825,3.99206
ABHD3,8.750065,2.72248,1.826858,7.8,0.389929,0.786067
ABHD4,6.220310833,1.19563,2.625256,1.2,2.042925,0.463994
ABHD5,3.240030833,2.08563,1.959746,2.1,0.7015075,1.35422075
ABHD6,2.437724167,2.62419,5.27991,0.5,0.7713475,0.518539
ABHD8,0.10415275,0.1,0.1,0.1,0.1,0.080196975
ABI1,24.85285,20.0538,6.07758,22.2,4.828505,6.3875475
ABI2,24.514125,19.9359,11.530354,4.4,5.22387,17.9564
ABI3,0.124297,0.12181,0.412854,3.6,0.462293,0.086192325
ABI3BP,0.354346917,2.54449,0.1,0.2,0.6701665,3.009449
ABL1,2.17513025,0.617742,1.5811092,1.1,1.37339,0.2485848
ABL2,1.949389167,3.47291,2.979846,27.0,1.239338,0.69501425
ABLIM1,39.95134167,18.841,1.8865666,0.2,24.9784,4.876755
ABLIM2,0.271907667,1.5093,0.313162,0.1,0.4498925,1.192596
ABLIM3,1.835526417,2.54688,0.9679534,0.2,4.396975,0.7362435
ABO,0.1,0.1,0.1,0.1,0.1,0.083691025
ABP1,0.1,0.1,0.1,0.1,0.1,0.1
ABR,11.66810583,4.22449,1.028501,7.5,3.50597,3.1523835
ABRA,0.1,0.809845,0.1,0.9,0.1,0.28040925
ABT1,0.630967917,1.00498,1.165102,1.6,0.3269925,0.2133638
ABTB1,0.166970833,0.1,0.1449684,0.2,0.342765,0.082847575
ABTB2,1.158568833,0.24322,1.0504058,0.1,0.2041085,0.118180425
ACAA1,5.395145833,3.44509,3.424078,2.6,1.066913,0.734152
ACAA2,56.02456667,5.19339,12.060816,11.7,5.37258,8.263385
ACACA,6.089533333,6.76449,4.596076,1.6,1.60588,2.57932
ACACB,4.829904167,0.1,0.4701738,0.2,1.0775835,0.242666
ACAD10,0.7504385,0.480463,0.3108724,0.3,0.180621,0.159630375
ACAD11,2.589035833,1.60215,2.509602,1.3,0.3680975,0.26606
ACAD8,4.803918333,5.98875,3.024008,1.4,0.7862985,0.78973425
ACAD9,1.332404417,2.03359,0.7742566,0.7,0.253129,0.34891175
ACADL,0.920382333,1.90897,0.2739432,0.1,0.1501935,0.70653775
ACADM,17.419275,13.7325,9.871616,6.9,3.3444,8.43764
ACADS,0.140546667,0.134502,0.1,0.1,0.1,0.0818965
ACADSB,6.420755,7.56391,3.130624,1.5,0.7581315,1.896755
ACADVL,13.15200917,1.70935,1.602873,2.0,4.747275,1.38307125
ACAN,0.1,0.1,0.1,0.1,0.1,0.054050103
ACAP1,0.1,0.1,0.1,0.1,0.1,0.090437225
ACAP2,6.3720075,2.06419,3.219044,5.5,1.73507,2.2605325
ACAP3,0.100603417,0.1,0.1,0.1,0.1,0.070680475
ACAT1,13.04904583,17.0472,7.695158,4.2,3.367335,3.20751
ACAT2,7.895674167,11.9325,7.827308,2.1,0.1,4.560925
ACBD3,4.52153,6.74508,4.658316,6.1,2.191315,1.59253475
ACBD4,0.20489925,0.1,0.1,0.1,0.1019035,0.0825261
ACBD5,21.013675,11.2997,18.24923,5.6,3.7471,8.890895
ACBD6,2.870775833,4.82655,2.89289,1.8,2.911015,1.931269
ACBD7,21.63506667,1.66421,0.6292416,0.1,0.6349565,3.3142225
ACCN1,0.12016775,2.58494,0.222083,0.1,0.1421205,0.248728425
ACCN2,4.830175,4.99569,4.947484,0.1,0.3433945,0.86580125
ACCN3,0.101948167,0.25513,0.1,0.1,0.1446805,0.183349025
ACCN4,0.1,0.1,0.1047432,0.1,0.1,0.128515825
ACCN5,0.1,0.155134,0.1,0.1,0.1,0.088136325
ACCS,0.451594917,0.1,0.1303798,0.4,0.1,0.0863123
ACCSL,0.1,0.1,0.1,0.1,0.1,0.1
ACD,0.317341,0.1,0.102049,0.1,0.962687,0.31504275
ACE,0.102483833,0.1,0.1,0.1,0.416515,0.090792175
ACE2,0.1,0.1,0.1,0.1,0.1,0.041816525
ACER1,0.1,0.1,0.1,0.1,0.1,0.1
ACER2,0.234350167,0.433128,0.1683066,0.3,2.92912,0.25482875
ACER3,6.002189167,3.44453,7.589742,3.0,1.129587,1.319696
ACHE,0.1,0.166592,0.1,0.1,0.1,0.0848075
ACIN1,3.625058333,3.63121,2.966114,4.3,1.80253,1.46673725
ACLY,4.297566667,5.30303,3.423064,3.2,2.57807,1.320977
ACMSD,0.1,0.1,0.1,0.1,0.1,0.097732275
ACN9,1.765359,1.61489,0.99847,0.9,0.309294,0.67287525
ACO1,11.30562333,7.49863,3.387984,2.3,1.9401,2.111185
ACO2,11.91858083,3.62911,2.905428,1.3,2.60156,1.159782
ACOT1,3.10997,3.05538,0.453047,0.5,0.3757735,0.22862415
ACOT11,1.61498225,0.127137,0.1,0.1,0.1,0.132447725
ACOT12,0.1,0.1,0.1,0.1,0.1,0.0913777
ACOT13,8.016283333,5.12967,2.385714,4.3,1.57762,4.1656675
ACOT2,3.624264167,4.27351,0.6687328,0.5,0.691489,0.34341635
ACOT4,0.696337917,0.808755,0.1202622,0.1,0.1,0.14638515
ACOT6,1.202958917,0.292189,0.1619822,0.1,0.1,0.3408335
ACOT7,0.6225485,4.40252,1.0219976,0.1,1.0895765,2.42898925
ACOT8,0.261299833,0.1,0.1570398,0.1,0.394161,0.102688375
ACOT9,3.037906667,2.77727,1.56483,10.4,1.0424415,0.57268425
ACOX1,12.81689167,3.57145,2.650112,2.6,1.6094,1.65018
ACOX2,1.889485167,0.218398,0.1,0.1,0.2760785,0.1190082
ACOX3,1.135380333,0.529018,0.3588748,0.4,0.571437,0.43170725
ACOXL,0.1,0.1,0.1,0.1,0.1,0.1
ACP1,9.921546667,23.6742,12.778622,8.8,3.469775,3.8799775
ACP2,1.063283583,1.84083,0.323535,0.5,0.4653835,0.248126325
ACP5,0.116680917,0.1,0.1,0.1,0.1,0.1
ACP6,3.384831667,1.15012,0.6584018,0.8,1.1061475,0.471897225
ACPL2,1.774303583,5.07153,1.9419518,0.2,0.237665,1.59615175
ACPP,0.16115975,0.284119,0.400344,2.6,0.1,0.113380025
ACPT,0.1,0.1,0.1,0.1,0.1,0.1
ACR,0.1,0.1,0.1,0.1,0.17143,0.0907232
ACRBP,0.142436833,0.1,0.2302718,0.6,0.1,0.0866394
ACRC,0.303797417,0.770618,0.4453252,0.8,0.1,0.458853
ACRV1,0.106336083,1.23037,0.1606682,0.1,0.1,0.19816825
ACSBG1,19.55966667,1.24443,0.6158634,0.1,0.2856585,1.04475325
ACSBG2,0.133033583,0.1,0.1,0.1,0.1,0.0806031
ACSF2,2.251560333,0.1,0.2686418,0.9,0.2642565,0.121827625
ACSF3,0.173771167,0.1,0.1072416,0.1,0.184912,0.11974425
ACSL1,1.299490917,3.62316,10.979894,23.6,0.2732385,0.65119225
ACSL3,23.28230833,22.0884,10.453118,10.0,10.278705,12.996925
ACSL4,1.259132583,9.61879,3.131494,10.4,1.248905,3.9122575
ACSL5,0.163160917,0.304432,0.3955306,4.5,9.219145,0.364836
