gene,nOPCs_mean,aOPCs_mean,aOLs_mean,activatedaOPCs_mean,non_activatedaOPCs_mean
Cyp2c39,8.975125863,8.873608106,8.884751613,9.085279385,9.126449242
6330527O06Rik,8.934305906,8.885952505,8.917850797,9.077703097,9.095354043
4930429F11Rik,9.112096189,8.92618741,8.854872617,9.193194101,9.006700637
LOC633908,15.87348602,15.29959609,15.27940111,15.90060297,15.05362659
Gaa,9.281017327,9.12563998,9.206017114,9.30890435,9.354483554
Olfr1036,8.916186747,9.00645603,8.974028718,9.037493922,9.092645725
39692,14.52653325,14.09327902,13.72116712,14.63317164,13.9658919
Ccl3,9.610920629,9.189618777,9.375951007,10.83074571,9.337377801
Pou1f1,14.42951883,14.50938146,14.08000922,13.782606,13.78470894
Gabarap,12.04850966,12.78389716,12.49789664,12.81788444,12.90087968
4930455C21Rik,14.84944616,13.85499301,14.05934114,13.12738465,12.77681728
Ppa1,11.42580562,10.50469151,10.57819408,10.97405929,10.63238616
Gm5447,9.42741221,9.03513678,8.995894547,9.021995508,9.369517809
Ube2j1,9.927641059,9.710269623,9.782009517,9.703634382,9.44943504
Snw1,11.3786121,11.818999,11.68492753,11.32811171,11.50601899
Pcbd1,9.928180704,9.198394061,9.039091103,9.233351856,8.897153678
Patl2,9.054120375,8.839348622,8.952211083,9.15503976,8.976349772
Olfr1132,9.194190404,9.009818525,8.743999852,9.083737941,8.849892369
0,9.190864228,8.800154784,9.01154366,9.035912587,8.851555495
Krtap8-2,9.795206728,9.349184114,9.477993625,9.296578302,9.280634343
Slc2a2,11.29481309,8.836414328,8.850816962,9.1736124,9.011853457
Adra1b,12.13215602,12.01432063,11.61037551,11.45130773,11.48508558
Tsen34,14.77347284,14.32785446,14.01795632,14.19380375,14.2239139
Gnptab,12.047403,13.03415916,12.86684321,11.89054114,12.82308111
0,9.552574174,9.236803983,9.25141496,9.139192485,9.370528103
Ankrd40,9.230360744,9.13794026,9.076652716,8.918531807,9.067935539
LOC544818,9.178784446,9.201896111,9.221339151,9.107290769,9.214633916
Obox1,9.123737622,8.827351819,8.83439363,8.965138021,8.895594576
Cnr1,9.800707592,8.948495941,8.913367455,9.204906645,8.870582956
4932439E07Rik,9.556737804,9.565647878,9.569628196,9.120919612,9.71451545
Larp1,10.05407648,10.27889623,10.27322179,10.27631603,10.28535885
Trmt11,10.61553871,10.50814947,10.48952251,10.22553185,10.57419364
Atad2,10.30079441,9.156832663,9.305750054,9.155771846,8.837610094
Olfr763,9.32866879,8.954750062,8.928465324,9.251701797,8.820787235
C230073G13Rik,9.261859251,8.945335617,8.950420229,9.470849605,9.140517816
0,9.144008472,8.941538589,9.079520405,9.207906494,8.925404729
Ppp1r1c,9.040154035,8.879498431,9.064223585,8.944008599,9.245324284
Ccdc76,10.55010599,10.62967645,10.8727188,10.06508797,10.69979811
Kcnn2,9.523912205,9.237376886,9.194147848,8.893568934,8.985621713
LOC100047590,9.188136017,9.034420472,9.17820342,8.886415896,9.151793927
Sox17,9.319344806,8.925768795,9.027140121,8.863116885,8.899829592
Gm3006,15.0021844,14.78373433,15.25005474,14.00173628,14.70766138
Ntrk2,13.00202268,10.4325681,10.56912777,10.82887345,9.967581588
Acss3,9.23122198,8.913902121,9.007902977,8.917131292,8.920529015
Gm6109,15.25362106,14.61151213,14.60856108,15.29286048,14.73222847
Spag4,9.204241506,9.000999299,8.904776467,9.172433915,8.839122295
1700047E10Rik,9.149511311,9.249888323,9.057518146,9.158303479,8.891870787
Olfr1466,10.35953236,11.02780292,11.20281057,10.72110628,10.2202392
