gene,neonatal_OPCs_Mean,adult_OPCs_Mean,adult_oligodendrocytes_Mean
Slc12a7,1869.063732,663.5985705,272.4754802
Bai1,20998.80015,14001.51136,11648.56596
Rps25,237.7755727,278.292812,293.4129191
Gabra4,230.3789788,230.3696964,235.7485802
Pvalb,323.3011121,404.847587,493.7610034
Mare,1321.218442,1414.735613,843.339622
1700048M11Rik,330.8046906,431.8045911,472.4039452
LOC632383,8130.528697,3508.140933,4929.950181
Ldoc1l,790.2852561,895.331998,863.6748834
Denr,1290.560079,1315.44416,1271.135454
0,239.7048221,220.626228,244.4327134
0,1085.729962,3048.561559,2538.232829
0,3292.682823,2690.891633,1422.304338
4930519F16Rik,234.0538036,202.643285,238.1018443
Ube2e2,5345.834376,6786.385795,5152.958448
ERCC-00062_278,218.6643973,229.9558591,232.2946581
Napepld,565.141883,1488.365766,1422.84811
Gm7767,1315.041435,1660.206725,1573.393066
Fbxw11,4529.358945,5458.624623,4016.26945
Cir1,257.7293476,298.0277245,356.582087
LOC100043974,581.6665218,270.2692099,357.2152243
Abcc3,259.4508452,262.6632423,276.1661755
Neil1,262.8313727,341.5196864,354.4805307
Masp2,222.1361458,228.4115427,252.10211
Ccdc65,257.0812942,226.06248,235.1782305
Gm10565,234.3821152,551.6565568,253.1979173
Gm5840,216.7400673,229.8293193,238.0387075
Polr2e,652.5408321,1171.15676,998.3295114
0,701.6530403,863.3386748,793.268022
Hdlbp,1719.731697,1359.206863,1318.692213
Dapl1,333.5427879,304.4800207,233.9486734
Camk1,281.8213755,395.5207009,351.9188842
2010106G01Rik,792.8179221,887.0351927,902.95542
Dtx3l,388.1572458,297.062916,243.9758234
Lingo3,365.8311618,357.4357736,275.4664127
0,227.3380212,283.6448757,189.7667334
(-)3xSLv1,216.3699966,208.6821103,208.2492833
0,237.0538321,307.8958559,222.3525682
Grrp1,301.6108072,267.0567791,271.8869013
2010110P09Rik,256.8456388,329.252409,212.888863
Gm5450,9136.447252,30779.73732,25872.28291
Mpzl2,3638.241534,668.7121116,241.9758507
Rint1,1578.97598,2825.416808,2736.291214
Defa21,221.4969748,376.4907223,209.5658627
Dhrs4,256.4602942,574.0272427,355.2384307
Atl2,274.3365003,539.8120845,298.1053548
Ephb6,239.2353367,550.1666005,229.6255195
Gpn2,427.4814542,1034.706266,584.9889877
Adprh,4528.886407,5121.410061,4056.345115
0,226.859573,684.2275307,247.576045
Slc6a20a,964.3118348,796.575018,298.650458
Spesp1,275.8881803,239.9533982,225.7576453
Rs1,52639.39006,42124.71687,59757.58016
Mrpl34,811.3332377,1553.905375,1442.662805
Prssl1,317.3857361,241.6790405,247.1705941
Atp1b3,3610.772915,19415.76741,16357.63334
Hprt,2395.466236,2128.16202,2193.229594
Aspa,440.1313673,28763.88463,28686.98521
Ctbp2,1581.495328,299.0783655,253.5338532
5730469M10Rik,4031.978162,7856.279886,8939.906507
Bnip3,2924.235435,5554.755417,6113.114355
Nudt15,234.0326767,221.0060761,218.9819623
Gspt2,352.4216415,318.3925643,390.4519493
Kctd20,888.8977279,770.1168709,769.0234893
Gsta4,378.4614741,236.9950987,238.5320287
Bloc1s2,2112.879618,2445.842202,2650.740306
Naa30,537.2585851,667.7242513,908.835234
Olfr487,208.4870727,197.8438255,219.2392559
Tspan17,562.037403,1248.602621,1037.176684
Mex3c,834.0133415,1166.986125,1028.622103
C130030J05,211.2920627,209.469413,205.5797448
Cxcl11,60521.52691,46053.61461,47453.38965
Trim71,197.0438339,251.7775518,244.4894823
LOC100046741,275.1297252,288.2588591,299.807233
5031434C07Rik,230.8441667,192.5416084,187.333253
Phax,400.6059691,527.987327,594.0733595
Klhdc5,342.974427,375.4124157,401.3592152
0,4702.260696,8567.351168,6944.169011
0,220.1435697,250.0548264,203.0793336
Hspb6,410.4355388,549.4030793,441.4142048
0610009E02Rik,516.9953306,274.7243555,255.8451545
3110021N24Rik,192.4253042,232.7456495,217.5393664
Trim21,256.3917818,295.4532998,254.3613155
Asph,419.1398194,235.9030273,270.4232348
D6Wsu163e,267.2135676,442.4834889,461.0469441
Csf1,1737.366112,4977.494632,4775.69227
Pira6,199.9819482,198.4271002,212.4010786
Zfp595,215.531803,280.4288823,314.1469761
Tspan4,1519.973438,250.0821936,407.8755084
2210012G02Rik,244.3732024,305.7781098,262.5239617
Nceh1,1527.21696,2824.033139,2610.804939
0,178.0217936,184.4499623,178.5938259
4930544M13Rik,178.1821518,216.1223157,197.320673
Cdk7,286.412867,319.4054336,269.0311695
E130309D14Rik,198.2554733,204.4716086,232.7254455
0,673.8613288,730.8127889,872.8745432
0,328.7832315,227.776262,209.6037302
0,182.5146745,194.3267957,194.0487057
Wdr36,284.0081412,327.7476811,296.6022066
BC024137,195.1028379,250.6487295,246.9595109
Hoxb1,211.6487866,207.355279,207.7382102
Brunol4,206.9015655,260.3415677,290.6878905
4930520P13Rik,215.3483545,291.2736468,297.3153155
Ppp1r8,1052.829246,1133.37881,1053.969308
Dnajb9,310.8427142,341.9617243,512.4587086
