gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
ABCC12,0.07921765,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0831178
ABCC13,0.1,0.10444325,0.1,0.1,0.1,0.1,0.3,0.1,0.07701905
ABCC2,0.06210325,0.08181545,0.112150333,0.1,0.1,0.1038146,0.2,0.1,0.045041205
ABCC3,4.8141275,0.09403875,0.1,0.1,0.136928,0.1,0.1,0.1,0.08660435
ABCC4,1.028014225,1.59112275,1.731237,0.575988417,0.320374,1.0134538,15.6,0.3287445,0.33680275
ABCC5,3.326205,4.6633275,3.810346667,1.812873417,11.259,4.035792,2.0,0.855973,3.2526575
ABCC6,0.242849,0.2726872,0.208121667,0.67120925,0.461777,0.1,0.1,0.387948,0.07682575
ABCC6P1,0.2405641,0.32541775,0.218035083,0.102371,0.1,0.1350878,0.1,0.3132625,0.198999
ABCC6P2,0.25060675,0.1421215,0.61035,0.4033,0.1,0.1,0.1,0.1,0.1066055
ABCC8,0.42878475,0.765953,0.206299233,0.863517583,0.52664,0.2540312,0.1,0.133186,0.63282175
ABCC9,1.674037225,4.407155,1.913902167,10.26905667,0.55304,0.1921868,0.1,6.57268,1.24878325
ABCD1,0.051013425,0.07127185,0.373703167,0.101254917,0.1,0.1,0.1,0.1,0.059723475
ABCD2,1.95256775,2.391241,1.066194833,9.287365,2.40188,0.210222,0.1,0.1423625,1.7055525
ABCD3,6.360915,6.880805,9.586518333,8.1937075,6.24098,6.243274,2.1,4.56432,2.1076625
ABCD4,2.1382225,2.4899475,1.841551667,2.905600417,1.05504,1.2732972,1.4,0.7266535,0.53593125
ABCE1,5.8101,5.8488175,3.677803333,3.234494167,5.87594,5.496736,8.3,0.891197,2.5080325
ABCF1,0.71208825,0.51292125,1.106096,0.425993917,0.358701,0.4566636,0.5,0.193273,0.213891525
ABCF1,0.7161955,0.548666,1.091345833,0.415346,0.376259,0.4496638,0.5,0.1872415,0.201943
ABCF1,0.717761,0.5320495,1.106062667,0.413929083,0.341247,0.467297,0.5,0.182744,0.20590025
ABCF1,0.70667375,0.53395775,1.132973,0.4218705,0.358811,0.4488224,0.5,0.2011455,0.212844275
ABCF1,0.7074345,0.514317,1.177907833,0.416670667,0.358701,0.4609266,0.5,0.191704,0.209785025
ABCF1,0.71912625,0.55796175,1.175980333,0.412633,0.376259,0.4552832,0.5,0.188618,0.20773825
ABCF1,0.719031,0.54563575,1.2770195,0.41606375,0.358811,0.4477414,0.5,0.1845675,0.208365
ABCF2,2.64858325,4.07103,3.651926667,2.556968333,1.71253,1.793988,1.6,0.7165265,0.356526
ABCF3,1.126805,1.4622435,1.5463315,1.185389417,0.824171,0.3976914,0.7,0.90587,0.193394475
ABCG1,0.320481,6.20768,0.171043833,0.48416025,1.39661,6.848446,3.7,2.330217,0.54624275
ABCG2,0.31904575,0.60801825,0.108606333,0.235270583,0.595135,0.597324,6.6,48.20215,2.2738275
ABCG4,0.1,0.116494025,0.1002225,0.164174667,0.336032,0.1,0.1,0.17392,0.096839575
ABCG5,0.062286025,0.13138775,0.086576567,0.117294417,0.271451,0.1,0.1,0.1,0.2382419
ABCG8,0.06266125,0.1,0.086675633,0.1,0.1,0.1,0.1,0.1,0.082985475
ABHD1,0.1,0.1,0.640578333,0.155276667,0.1,0.1,0.1,0.163935,0.1
ABHD10,4.39495,5.03582,2.598731667,6.4553225,11.6653,7.401412,1.9,1.35708,2.6559925
ABHD11,1.1826555,0.96649625,0.525993333,1.48351275,0.636335,0.4917216,2.0,0.698271,0.54554925
ABHD11-AS1,0.1,0.1,0.1,0.10626025,0.1,0.1,0.1,0.1,0.1
ABHD12,3.5857955,4.1682875,2.275235,1.500293167,2.12551,2.025736,2.3,1.156213,0.46887725
ABHD12B,0.48309,1.77667,0.370736667,0.173672583,0.1,1.5794538,0.3,0.1,0.537945
ABHD13,0.6975235,1.1294925,1.092695,0.84627575,2.42033,1.2003498,2.0,0.7531415,0.5197295
ABHD14A,0.793906,1.37959825,1.075248333,1.180121333,0.257937,0.2142986,0.2,0.5191555,0.38877075
ABHD14A-ACY1,0.143262,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ABHD14B,0.67535075,0.5611135,0.427810833,0.916379167,0.127923,0.6319072,1.5,2.44234,0.2346789
ABHD15,0.43633525,1.23146975,0.6192685,1.20682425,0.1,0.5105368,2.5,0.1,0.06376805
ABHD16A,0.274604275,0.28257775,0.315664167,0.313423417,0.25308,0.2290776,0.3,0.109261,0.086361225
ABHD16A,0.288855,0.28257775,0.3166025,0.316048,0.25308,0.2314942,0.3,0.109261,0.08750605
ABHD16A,0.303722025,0.34728475,0.3225025,0.31807625,0.25308,0.2311156,0.3,0.1,0.08750605
ABHD16A,0.324993,0.3625915,0.317774833,0.315168167,0.25308,0.2316662,0.3,0.1,0.0880441
ABHD16A,0.31736875,0.37393125,0.314965167,0.308622167,0.25308,0.228447,0.3,0.1,0.0880441
ABHD16A,0.313739275,0.3515445,0.320369333,0.309099917,0.25308,0.2294746,0.3,0.1,0.09214655
ABHD16A,0.32246175,0.3696715,0.314344333,0.305737667,0.25308,0.2314218,0.3,0.1,0.09406255
ABHD16B,0.08961845,0.1,0.088572483,0.102204917,0.1,0.1,0.1,0.1,0.09118235
ABHD2,22.11585,23.044475,7.772555,19.387325,9.27853,18.794184,4.0,5.069825,3.99206
ABHD3,3.57918,3.918235,4.863098333,8.750065,2.72248,1.826858,7.8,0.389929,0.786067
ABHD4,9.503875,4.9301875,3.459901667,6.220310833,1.19563,2.625256,1.2,2.042925,0.463994
ABHD5,2.65245775,3.93361,0.787416,3.240030833,2.08563,1.959746,2.1,0.7015075,1.35422075
ABHD6,1.0533205,4.39187,0.887501667,2.437724167,2.62419,5.27991,0.5,0.7713475,0.518539
ABHD8,0.067224325,0.098622225,0.1,0.10415275,0.1,0.1,0.1,0.1,0.080196975
ABI1,15.303045,11.692535,7.80571,24.85285,20.0538,6.07758,22.2,4.828505,6.3875475
ABI2,22.31915,18.763725,24.67388333,24.514125,19.9359,11.530354,4.4,5.22387,17.9564
ABI3,0.1,0.470955,0.100781333,0.124297,0.12181,0.412854,3.6,0.462293,0.086192325
ABI3BP,1.791533675,0.50326875,0.116057,0.354346917,2.54449,0.1,0.2,0.6701665,3.009449
ABL1,1.90692225,4.1049525,8.987973333,2.17513025,0.617742,1.5811092,1.1,1.37339,0.2485848
ABL2,2.55612925,4.720125,4.06862,1.949389167,3.47291,2.979846,27.0,1.239338,0.69501425
ABLIM1,9.5213325,12.281865,2.377841667,39.95134167,18.841,1.8865666,0.2,24.9784,4.876755
ABLIM2,0.143781275,0.589145,0.770581167,0.271907667,1.5093,0.313162,0.1,0.4498925,1.192596
