gene,h4_mean,h24_mean,h48_mean,h72_mean,d7_mean,d21_mean,d28_mean
Hsd3b7,808.8463805,1000.939235,873.2915631,994.1710977,968.5208021,710.4584446,904.925921
Abtb2,155.7898287,160.3957906,171.0462917,173.3857079,185.9896056,139.7138641,182.3257983
Gata3,267.7687332,228.9131663,265.9169066,223.4225255,231.6926011,264.6964755,241.4770599
Slc15a4,232.2841241,225.8325155,279.7008904,279.3794572,384.0390344,280.8207323,370.4748107
Arid3a,122.5704782,137.9962653,138.4381565,130.7349929,175.0723254,218.4582798,166.2237354
Psmc5,833.5832054,975.2028776,837.9996961,853.1123026,932.4047406,1044.303111,1021.58198
Aqp7,193.4198355,171.9178461,195.828976,193.4470731,181.1621601,181.674036,190.7821994
Cds1,301.0985535,220.6121798,226.8700401,194.4828733,188.1038262,261.9508475,214.5339101
Mat2a,2019.397325,1392.213972,727.0910943,770.9243112,1014.382483,780.1927518,1264.313095
Sema6b,225.3184942,237.5088304,260.6063849,272.8236251,233.5223228,233.8516063,218.9225723
Pld1,346.3566585,314.9557426,374.4422424,522.7773192,662.0751099,399.724692,564.3168424
Zp1,263.0096496,247.6292037,224.9929997,213.9894151,190.516867,201.4900929,210.518597
Zp2,157.4409452,150.0936399,170.7022854,153.5079245,141.2132439,160.6326289,153.4125777
Sptbn2,331.8627244,270.3648828,255.5191174,235.438988,221.7532711,309.029162,259.3846067
#N/A,70.13588895,59.62167595,68.98434766,60.80527107,56.53458098,67.77018356,58.96944353
Shc2,248.2978984,188.1689172,217.7772747,167.5873029,157.7289087,229.144049,184.9864356
Shc3,323.650534,248.819889,288.3558993,228.168771,223.5854588,294.1667789,238.2066216
Nrg2,260.3446831,194.5688254,209.8987969,159.9741528,170.9241022,268.612995,226.7779349
Ghsr,174.9461683,125.3590186,139.6448329,113.1714178,98.91431007,149.8899542,113.2052592
Ghsr,336.7016485,238.7652572,285.013309,197.1925189,178.4430537,296.6545225,203.7367162
Nsfl1c,1193.816458,1643.884588,1715.896117,1025.433271,1134.411028,1572.947314,1334.519363
Nsfl1c,1702.607053,2465.06919,2590.407796,1442.849572,1742.051495,2172.560779,2017.674211
Pex12,153.5075161,145.8545874,105.1467295,180.471834,192.4886454,125.6553811,222.405444
#N/A,106.6453834,123.6686682,129.682712,150.7182349,125.8715745,113.5275772,117.6368299
#N/A,156.5672913,129.1031421,135.4444856,118.5344497,109.7727389,139.0599763,107.0684178
Hal,149.1284343,146.2139142,197.2119377,177.3869294,178.0456885,150.951569,146.2946731
Ruvbl1,166.3769802,247.5021545,298.3002129,186.8763204,199.4333181,202.5532115,240.3565795
Gpd1,858.143164,1174.579728,852.8735181,999.5574248,793.3138249,637.3357916,741.6386671
Fgf16,213.1290527,192.8738324,187.7705235,236.8334227,201.4188373,159.8003459,176.4295169
Agxt2,50.56930925,46.10359547,40.49104788,48.21952939,46.7156428,45.34940593,45.45129218
Cnga3,27.43858185,26.93212316,26.05101101,27.76469262,25.63817458,23.60656392,25.49728359
C5ar1,737.819018,919.7624336,1604.924044,1189.2545,994.615958,612.7006346,491.1510444
Irf2,301.0215174,305.6398703,262.7116193,319.8585257,286.5130213,223.5916657,260.3389491
Bfsp1,140.4719662,139.4372732,151.2112536,136.2337861,132.33645,131.616267,140.4722844
#N/A,266.6812249,270.1994795,233.4552953,301.6689247,258.2787032,230.6519391,221.0780554
Dao,440.0839622,141.7503312,124.1662041,127.1657297,196.3578941,456.3064789,420.6517783
B3galt4,159.2257789,155.2736134,143.0802578,194.9541012,192.8327616,130.622711,151.5243592
B3galt4,188.0535887,186.1368012,184.3275404,216.1878864,208.1513426,163.1493501,177.6596362
