gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes
CHPT1,10.9071125,12.7794725,1.197816667,19.93036667
CHRAC1,10.20842,10.803665,10.00734333,4.211581667
CHRD,0.4657363,0.115342925,0.0932466,0.16640725
CHRDL1,3.96468275,19.453705,14.97745167,71.19911667
CHRDL2,0.29051625,0.1,0.820243,0.1391965
CHRFAM7A,0.063779925,0.072235575,0.531732833,0.264277333
CHRM1,0.0829927,0.10636685,0.347333333,0.1
CHRM2,0.085584925,0.1,0.1,0.1
CHRM3,0.84830125,0.1,0.1004615,0.1
CHRM4,0.10243875,0.1044595,0.08985475,0.1
CHRM5,0.064297325,1.02444535,0.094935333,0.1
CHRNA1,0.575161,0.08547105,0.097231867,0.1
CHRNA10,0.073297025,0.1101441,0.476633,0.1
CHRNA2,0.08514035,0.1,0.1,0.1
CHRNA3,0.11706625,0.080971425,0.146697333,0.101666417
CHRNA4,0.0790161,0.33392675,0.351015167,0.517871167
CHRNA5,0.28015275,0.09097575,0.584769833,0.160251417
CHRNA6,0.088617325,0.085434825,0.1,0.1
CHRNA7,0.0598408,0.2381049,1.202585,0.298930167
CHRNA9,1.455155,0.0837918,0.0873048,0.1
CHRNB1,1.447315,1.55281,1.537102833,2.218926667
CHRNB2,0.10167695,0.094872425,0.983767833,0.16001825
CHRNB3,0.1,0.1,0.1,0.1
CHRNB4,0.186095225,0.1,0.730493333,0.102143
CHRND,0.083009525,0.1,0.1,0.108599167
CHRNE,0.1,0.1,0.1,0.1
CHRNG,0.1,0.1,0.1,0.1
CHST1,0.3959275,0.76901125,0.488995,3.425738333
CHST10,3.11994,3.5966175,8.679898333,8.813108333
CHST11,7.0202175,10.914155,7.108228333,5.847251667
CHST12,1.06415725,0.23896175,0.641669517,0.372079417
CHST13,0.1,0.1,0.1,0.1
CHST14,1.71479125,0.924209,2.850038333,1.002803333
CHST15,2.52312,1.40657925,0.798349667,0.160764167
CHST2,1.439005,0.3532495,0.9268,0.293780917
CHST3,1.42255525,2.70777875,3.999605,1.252295
CHST4,0.0581579,0.1,0.1,0.1
CHST5,0.085074575,0.10445735,0.0968294,0.1
CHST6,0.76845035,0.794445,0.231042833,0.341945
CHST7,4.82217,3.447184,0.453468167,9.301853333
CHST8,0.086432125,0.084247375,0.091849083,0.1
CHST9,9.053757725,1.59653025,3.492463333,0.108880417
CHST9-AS1,0.95073125,0.4769465,0.682433428,0.782051667
CHSY1,7.32686,5.97544,6.690983333,4.132116667
CHSY3,0.520319575,0.11930075,0.2458685,0.1
CHTF18,0.09996415,0.081682375,1.191939833,0.1
CHTF8,1.744553025,1.772607,1.551618333,1.775945
CHTOP,11.5194225,17.181875,19.9918,14.41126667
CHUK,2.006808,3.08318,2.264226667,3.5355525
CHURC1,7.2738125,5.2005125,2.78321,4.888538333
CHURC1-FNTB,0.98040375,3.0555975,0.898199167,2.699083333
CIAO1,4.27094575,4.92274,4.379716667,5.466841667
CIAPIN1,2.508155,3.1999825,4.528583333,2.31258
CIB1,0.89919075,3.782778,0.243740167,3.661751667
CIB2,0.317098075,0.46123625,2.017633333,0.6921315
CIB3,0.1,0.1,0.1,0.1
CIB4,0.1,0.1,0.1,0.1
CIC,0.122193125,0.147969875,2.669893,0.122335917
CIDEA,0.1,0.1,0.1,0.1
CIDEB,0.4013384,0.67724825,1.25562,0.45839425
CIDEC,0.08663315,0.093349525,0.1,0.1
CIDECP,1.351652,2.56884,3.20958,1.0789015
CIITA,0.100346675,0.156535825,0.1,0.1
CILP,0.090267575,0.1,0.094896433,0.120848917
CILP2,0.1,0.1,0.1,0.1
CINP,0.91625425,4.396135,1.690220667,2.636540833
CIR1,6.5037475,6.26288,12.02695333,8.035991667
CIRBP,11.8565275,24.44565,20.04281667,17.36607417
CIRBP-AS1,0.1,0.1817201,0.532220383,0.12276075
CIRH1A,7.810355,6.622115,8.963676667,3.494406667
CISD1,4.3816975,5.6730225,3.866231667,8.339286667
CISD2,1.752998575,2.88466,1.403664333,1.89328
CISD3,0.1470245,0.25135175,0.1,0.463255167
CISH,0.2416627,0.098578575,1.288222333,0.1
CIT,2.164071375,1.317341,3.398485,0.347600083
CITED1,2.88952,0.33147575,7.926153333,0.197784167
CITED2,3.2949975,2.81539575,8.945965,1.68847175
CITED4,0.1,0.10855775,0.090922133,0.1
CIZ1,1.365443,1.145807,6.203855,1.153219583
CKAP2,4.874682,2.3679725,18.38375167,2.6590075
CKAP2L,1.52442,0.096973825,5.464551667,0.1
CKAP4,3.731847625,1.46577875,4.646703333,2.467580833
CKAP5,16.7338,12.8882,26.39593333,18.53890833
CKB,31.425915,13.330365,46.02576667,32.045775
CKLF,5.675015,7.6871725,6.8104,4.137948333
CKLF-CMTM1,0.1,0.1,0.976993333,0.1
CKM,0.1,0.1,0.1,0.1
CKMT1A,0.221455075,0.916206,0.118194167,0.36957525
CKMT1B,0.109287525,0.76697875,0.184429833,0.34731775
CKMT2,0.8906785,1.994,0.1,4.159376583
CKS1B,2.8484975,3.449875,8.778775,2.921231
CKS2,7.88205,4.8897625,13.84632167,2.718174417
CLASP1,14.08096,13.24565,18.56086667,19.50818333
CLASP2,14.24958,39.42175,15.65610833,17.34974167
CLASRP,0.1737375,0.389932825,1.627099833,0.26487025
CLC,0.1,0.1,0.1,0.1
CLCA1,0.1,0.082630975,0.1,0.1
CLCA2,0.06630135,0.1196431,0.1,0.1
CLCA3P,0.08721545,0.1,0.1,0.1
CLCA4,0.205576925,4.2178975,0.1,0.230709583
CLCC1,4.9609825,10.2962175,6.32247,8.738476667
CLCF1,1.18891425,0.1,0.997549833,0.111074167
CLCN1,0.1,0.081303125,0.0890257,0.1
CLCN2,1.00189725,0.45827225,0.862529333,0.661807083
CLCN3,9.825285,15.097675,9.39395,14.47113333
CLCN4,0.864559,4.7187675,0.307631167,1.647999167
CLCN5,1.0161805,0.91588375,1.658169333,0.892840667
CLCN6,2.3523605,5.3632975,7.600743333,5.361909167
CLCN7,0.07396115,0.217360475,1.2217495,0.17817175
CLCNKA,0.1,0.1,0.380048333,0.119378417
CLCNKB,0.13236075,0.1,0.1,0.1
CLDN1,0.26153525,1.784186,0.350372833,0.1946085
CLDN10,6.4035025,13.357805,0.450706667,49.27654167
CLDN11,1.257781525,33.435345,0.1054995,0.528391
CLDN12,6.8468325,2.6823675,1.721850333,4.723316667
CLDN14,0.094456625,0.1,0.1,0.1
CLDN15,0.106275825,0.200991125,0.820273667,0.10712925
CLDN16,0.1,0.175576925,0.1,0.100478417
CLDN17,0.1,0.1,0.1,0.1
CLDN18,0.1101838,0.085963775,0.1,0.10671
CLDN19,0.1,0.096014475,0.0864309,0.1
CLDN2,0.08942885,0.071596175,0.3392395,0.1
CLDN20,0.21235,0.308194925,0.1,0.360244083
CLDN22,0.1,0.1,0.1,0.1
CLDN23,0.191040725,0.096290075,0.1,0.19948025
CLDN24,0.1,0.1,0.719920483,0.1
CLDN25,0.1,0.1,0.1,0.1
CLDN3,0.1,0.1,0.1,0.1
CLDN4,0.1,0.1,0.1,0.1
CLDN5,0.12483915,0.134528,0.500594167,0.102724167
CLDN6,0.1,0.1,0.1,0.1
CLDN7,0.1,0.1,0.1,0.1
CLDN8,0.1,0.1,0.1,0.1
CLDN9,0.1,0.1,0.1,0.1
CLDND1,39.904675,279.0161,21.228685,36.02801667
CLDND2,0.090028725,0.207517625,0.1,0.20136725
CLEC10A,0.1,0.1,0.1,0.1
CLEC11A,0.1,0.090478325,0.090186967,0.1
CLEC12A,0.1,0.1,0.1,0.1
CLEC12B,0.1,0.141169275,0.1,0.1
CLEC14A,0.094318275,0.213846725,0.08713025,0.101024667
CLEC16A,1.77105,3.828765,3.425106667,3.717216667
CLEC17A,0.087505725,0.079786275,0.1,0.13175325
CLEC18A,0.089418875,0.16249925,0.084775012,0.103510333
CLEC18B,0.189910925,0.18351095,0.08761685,0.150698833
CLEC18C,0.06192045,0.1,0.093766867,0.1
CLEC19A,0.1,0.1,0.1,0.1
CLEC1A,0.1,0.1275895,0.1,0.110055333
CLEC1B,0.1,0.1,0.1,0.1
CLEC2A,0.1,0.1,0.1,0.1
CLEC2B,0.711144,0.645222775,0.110263833,0.18899425
CLEC2D,0.86365685,0.58273525,1.845316667,0.480561667
CLEC2L,0.1,0.1,0.1,0.1
CLEC3A,0.1,0.29344775,0.1,0.1
CLEC3B,0.1,0.10957625,0.1,0.1
CLEC4A,0.155028025,2.054181,0.880760367,0.881903917
CLEC4C,0.1,0.1,0.1,0.1
CLEC4D,0.1,0.1,0.08809245,0.1
CLEC4E,0.08571155,0.314894,0.1,0.1
CLEC4F,0.1119005,0.1,0.1,0.102929083
CLEC4G,0.1,0.1,0.1,0.1
CLEC4GP1,0.1,0.1,0.1,0.1
CLEC4M,0.1,0.1,0.1,0.1
CLEC5A,0.394279175,1.6501905,0.262528333,0.329783167
CLEC6A,0.091407425,0.1,0.1,0.1
CLEC7A,0.109397275,6.35528,0.086927383,0.531177333
CLEC9A,0.1,1.02833775,0.1,0.298638667
CLECL1,0.10034975,0.201661125,0.1,0.112447417
CLGN,0.190082525,0.47678125,1.231701667,0.2167085
CLIC1,2.89956,1.40212975,0.800417833,0.204157667
CLIC1,2.8919425,1.39178975,0.798841667,0.202251417
CLIC1,2.8838425,1.38878725,0.918908167,0.202168083
CLIC1,2.867895,1.37692725,0.9679585,0.200801583
CLIC1,2.8899875,1.38081725,1.050976167,0.205151583
CLIC1,2.8771,1.40602225,1.0277995,0.201714
CLIC1,2.900855,1.39178975,1.047106,0.20133925
CLIC2,0.3583225,0.31576525,0.322065,0.35064575
CLIC3,0.1,0.1,0.1,0.1
CLIC4,33.25043,21.731775,5.750204833,4.674880833
CLIC5,0.0579252,0.11075765,0.088154767,0.169183083
CLIC6,0.36227165,0.297844,0.1,0.1
CLINT1,12.8123625,7.7964225,8.155543333,7.6935725
CLIP1,14.520375,7.381045,17.28252667,15.10940583
CLIP2,1.65558025,1.624848,2.943449167,0.45627975
CLIP3,55.55055,19.6198,33.89048333,21.04708833
CLIP4,2.403025,8.60904,0.403735667,10.22996833
CLK1,13.754955,51.71245,10.35580333,17.11660417
CLK2,2.9746125,3.030215,4.049495,3.3103175
CLK2P,0.20137625,0.13605225,2.510123333,0.353777
CLK3,1.31082375,2.533915,5.232851667,1.885708833
CLK4,5.430983,9.8670075,5.780066667,9.748575
CLLU1,0.07812735,0.1,0.1,0.1
CLLU1OS,0.1,0.1,0.1,0.118025917
CLMN,0.54733375,8.6245175,0.182112333,0.964626333
CLMP,0.1705465,0.20265225,1.310878333,0.32828325
CLN3,0.83192025,0.99188525,0.642572833,1.057463583
CLN5,8.6441725,8.0621375,2.457955,7.473199167
CLN6,0.73943425,1.03355475,1.0208765,0.75849625
CLN8,0.338114,1.32664225,0.5348265,0.42460325
CLNK,0.1,0.1,0.100111167,0.1
CLNS1A,18.56704125,23.69845,18.134845,21.83921667
CLOCK,3.0926525,4.016385,3.226730667,3.836659167
CLP1,1.2045475,0.9755085,2.039474,0.445952667
CLPB,2.40939,2.33072125,3.247261667,2.229611917
CLPP,0.4653785,1.01394475,2.187099833,0.77098625
CLPS,0.1,0.1,0.1,0.1
CLPSL1,0.1,0.1,0.1,0.1
CLPSL2,0.1,0.1,0.1,0.1
CLPTM1,11.592035,13.1850575,9.381015,20.194345
CLPTM1L,1.2240797,1.167523,2.411771667,0.8940775
CLPX,7.467585,8.5091225,5.955396667,9.072126667
CLRN1,0.080361275,0.1,0.1,0.112577917
CLRN1-AS1,0.10698225,0.0947932,0.092275933,0.13265325
CLRN2,0.1,0.1,0.1,0.1
CLRN3,0.087318325,0.1,0.1,0.1
CLSPN,0.64292425,0.108751,2.163259333,0.1
CLSTN1,6.111215,11.408715,7.206266667,16.747095
CLSTN2,0.927082725,0.3078965,0.167641667,0.116658917
CLSTN3,0.26821725,0.339735275,1.369316,0.142547917
CLTA,13.2565175,21.16545,11.56069667,8.530328333
CLTB,0.5859485,0.76561175,2.776928333,0.989579833
CLTC,22.6029,19.527,12.19851,23.39205
CLTCL1,0.212575075,0.54774425,0.342856667,0.352768083
CLU,260.37,128.9256,25.30221667,384.22925
CLUAP1,5.45854,4.662495,7.133628333,8.311434167
CLUL1,0.1,0.1,0.1,0.1
CLVS1,0.1,0.1,2.032173333,0.1
CLVS2,0.21250195,0.67021925,3.73076,1.101861417
CLYBL,0.458241975,0.280331325,0.111375833,0.775907083
CMA1,0.1,0.1,0.1,0.1
CMAHP,0.6716735,0.42150825,0.380428333,0.596838667
CMAS,9.61058225,10.940415,12.57606,8.487526667
CMBL,1.92371775,2.065835,1.376192833,4.263018333
CMC1,5.9265125,2.43080175,0.83388,3.52008025
CMC2,26.617575,54.510375,22.923635,25.46871667
CMIP,2.04391475,1.046743,2.441663333,1.230007667
CMKLR1,0.079707625,0.6186,0.08668275,0.147424583
CMPK1,3.2416805,2.8615075,2.716571667,3.161455
CMPK2,3.46183875,0.34172075,0.938410667,0.523724833
CMTM1,0.1,0.1,4.607035,0.1
CMTM2,0.10491775,0.26013825,0.102588333,0.157023917
CMTM3,1.70959,1.11822375,1.990705,0.275225667
CMTM4,0.91978925,5.10339,2.971671667,5.370011667
CMTM5,0.11205795,5.0034475,0.1,1.1325025
CMTM6,3.095579,5.4653525,1.441628333,2.905940833
CMTM7,0.18675075,1.482224075,0.091206033,0.237350667
CMTM8,0.96665325,0.18497205,0.1,0.109337333
CMYA5,3.1489775,2.64455,0.8331385,3.876100833
CN5H6.4,0.11019075,0.1264545,0.1,0.135468583
CNBD1,0.084211925,0.1,0.1,0.1
CNBP,24.06715,25.237925,14.84629833,20.19350833
CNDP1,0.258059375,109.3459375,0.1,2.388974667
CNDP2,7.8555325,17.7782625,4.032558333,9.218950833
CNEP1R1,1.0933975,1.36385,1.527076,2.132018333
CNFN,0.1,0.1,0.109086,0.103708583
CNGA1,0.080512675,0.089123175,0.096089483,0.1
CNGA2,0.1,0.1,0.1,0.1
CNGA3,2.32444,0.07578775,3.118736667,0.102817417
CNGA4,0.101601075,0.13977205,0.088156783,0.270996667
CNGB1,0.086543875,0.1,0.0939024,0.103264833
CNGB3,0.0454084,0.12370125,0.0912675,0.100337833
CNIH,7.0388125,3.58825,1.053768333,5.422298333
CNIH2,0.543083,0.11357905,2.07161,0.111463417
CNIH3,7.608245,1.21514975,0.4148665,0.836439417
CNIH4,17.27215,11.4441575,13.95128667,9.467085
CNKSR1,0.090903475,0.2678765,0.254126667,0.103337167
CNKSR2,2.37509,1.4083905,5.480804667,2.5461185
CNKSR3,1.0721375,2.487597,3.045956667,0.404191583
CNN1,0.1318805,0.1,0.1,0.1
CNN2,0.94936075,0.1359578,1.724923333,0.10724675
CNN3,169.223625,60.81755,108.2797667,92.353275
CNNM1,0.04672945,0.23862075,0.18555755,0.14357125
CNNM2,0.859105,2.9038705,1.368096667,2.294071833
CNNM3,1.6181095,2.374015,1.7173015,2.6207125
CNNM4,1.783719,1.19910925,1.267532833,0.92511475
CNO,1.546111,2.5760525,1.02886,1.296713917
CNOT1,18.10445,14.96821,29.68483333,12.63662167
CNOT10,1.8690125,2.253405,3.750185,1.388305667
CNOT2,10.22526125,7.5760475,10.04173667,5.932501667
CNOT3,1.663732,1.59841325,5.851101667,0.953816417
CNOT4,13.121475,8.419895,10.59088333,10.1815125
CNOT6,1.527357,3.01386,5.422506667,2.200183333
CNOT6L,1.2052265,2.2982125,3.019661667,1.412484083
CNOT7,5.668231675,6.291835,5.615688333,5.334884167
CNOT8,3.87079625,5.6804025,8.02558,3.82291
CNP,6.2247625,81.25875,4.143218333,9.121906667
CNPPD1,1.74254025,3.898715,5.175356667,3.5634225
CNPY1,0.09037745,0.25108675,0.375193333,0.378406833
CNPY2,7.580945,10.500655,9.64132,7.596588333
CNPY3,0.83717575,3.07190825,1.914425,1.653798583
CNPY4,3.307952625,2.4976625,2.416956667,3.342641667
CNR1,11.4549525,0.371571,14.09025,0.322366583
CNR2,0.087501475,0.1,0.1,0.1
CNRIP1,5.4942725,10.49932,7.848721667,11.24524417
CNST,2.4921975,3.0757325,2.878701833,2.030164167
CNTD1,0.522409,0.6258925,0.252934167,0.491055417
CNTD2,0.1,0.1,0.08843885,0.1
CNTF,0.1,0.1,0.1,0.1
CNTFR,2.1107745,2.10159725,24.661535,7.405576667
CNTLN,2.91967525,1.1066615,9.929023333,1.443055
CNTN1,9.81609375,29.311175,1.578156833,44.27440083
CNTN2,0.3533623,28.238745,0.769026167,1.098353167
CNTN3,0.0807905,1.0534675,1.803125333,0.1299495
CNTN4,0.087410275,0.94435725,0.967789667,0.12948725
CNTN5,0.16854175,0.08840975,0.091043867,0.1181605
CNTN6,0.1270895,0.38677925,0.157481333,0.134360417
CNTNAP1,1.2291395,0.2947215,0.344934167,0.353502083
CNTNAP2,0.426597433,4.262845,1.8380805,0.470562083
CNTNAP3,0.95212425,1.057519,1.852370167,4.732680833
CNTNAP3B,1.7163485,0.870744,2.868598333,4.20273
CNTNAP4,0.0959813,16.5976975,0.1471925,1.06240225
CNTNAP5,0.174174075,1.7821355,0.693233167,0.218390167
CNTRL,1.4152075,1.5132025,7.979321667,1.266542
CNTROB,0.516961,0.61223675,2.82363,0.35586675
COA5,8.8140275,11.174395,7.356575,14.384525
COASY,2.1353075,1.11263925,1.826941667,1.199376333
COBL,3.65219,11.99172,0.823441833,3.931996667
COBLL1,1.613027,0.30698875,2.3692295,0.170635667
COBRA1,0.1237317,0.15160525,1.201867,0.157569
COCH,0.438146,0.3276645,1.180971,0.104100667
COG1,3.4246825,2.04693925,3.545883333,3.0303925
COG2,2.70007,2.88618,1.063276667,5.102019167
COG3,3.49072,4.04756,3.042805,3.287491667
COG4,2.20076,2.38634,1.621326667,2.952621667
COG5,9.26236,6.47455,5.028856667,7.495150833
COG6,6.875135,6.3561875,3.391148333,6.0026925
COG7,2.072349,3.3161225,3.686771667,2.981485833
COG8,3.128875,1.319883,1.478253333,1.8515175
COIL,1.8312,2.6388125,2.916410667,1.723871667
COL10A1,0.08068485,0.286808325,0.088661667,0.14449225
COL11A1,1.760348375,3.3547125,15.85026667,1.957844417
COL11A2,0.066994225,0.060828325,0.12074965,0.107890417
COL11A2,0.058535678,0.07532315,0.219024317,0.107890417
COL11A2,0.058535678,0.060828325,0.2244955,0.107890417
COL11A2,0.070579303,0.060828325,0.219024317,0.107890417
COL11A2,0.076320553,0.060828325,0.222114933,0.107890417
COL11A2,0.070081678,0.060828325,0.222086883,0.103233167
COL11A2,0.061376103,0.060828325,0.291262033,0.118804
COL12A1,0.25622725,0.31015175,0.4026655,0.13475075
COL13A1,0.122634275,0.1,0.1,0.1
COL14A1,0.68764805,0.080819475,0.095152167,0.111508417
COL15A1,0.1832565,0.12961,0.1,0.1
COL16A1,0.6067755,1.16685975,0.700119333,0.869424333
COL17A1,0.0739346,0.092672,0.09852985,0.16878275
COL18A1,0.13733525,0.08488075,0.202283917,0.11346525
COL18A1-AS1,0.1,0.1,0.1,0.1
COL19A1,0.094041725,0.09405395,0.1,0.1
COL1A1,0.1206298,0.102191,0.084768728,0.1
COL1A2,1.0303255,0.075061475,1.484195833,0.104705667
COL20A1,0.119781375,0.1188577,0.445498667,0.1
COL21A1,0.242408425,0.25194875,0.297050083,1.2894155
COL22A1,1.21704425,0.04421745,0.761144,0.1
COL23A1,0.085209525,0.140652325,0.09196165,0.497217917
COL24A1,0.25825485,0.166518,0.08985655,0.107203
COL25A1,0.073973325,0.059852925,0.1963816,0.134285667
COL27A1,0.118762725,0.0538568,1.558911833,0.18195925
COL28A1,0.418523,0.09358345,0.1081615,0.431116667
COL2A1,0.061424363,0.1,0.1044195,0.1
COL3A1,0.071169225,0.1,0.394849667,0.108723333
COL4A1,4.350796125,0.130894825,1.312987167,0.153682417
COL4A2,1.0668555,0.095152725,0.426430667,0.15478725
COL4A3,0.065634475,0.1583747,0.084373822,0.105285417
COL4A3BP,2.4330635,3.4230225,2.386803333,2.486995833
COL4A4,0.093717475,0.15355725,0.1,0.1
COL4A5,0.617150825,3.04620675,1.885951667,1.258394833
COL4A6,0.11461175,0.2058134,2.618875,0.1
COL5A1,0.679999675,0.065835325,0.716363333,0.1
COL5A2,3.2458396,0.117617275,0.856751,0.251453083
COL5A3,0.831079575,0.84857175,0.09709285,2.654383583
COL6A1,3.847514,0.590272,5.860943333,1.1313605
COL6A2,0.7162416,0.07770255,1.216886833,0.1
COL6A3,0.057844978,0.080757525,0.1,0.1
COL6A4P1,0.1,0.083908025,0.1,0.101460167
COL6A4P2,0.06765063,0.041060618,0.087000167,0.1390565
COL6A5,0.1,0.1,0.1,0.1
COL6A6,0.066335135,0.052140075,0.1,0.103069083
COL7A1,0.05324237,0.07444495,0.22158645,0.1
COL8A1,0.7688655,0.195390075,0.1,0.1
COL8A2,0.147070375,0.4532795,0.298183483,0.103039667
COL9A1,0.109030625,2.39522925,2.842228,0.309048167
COL9A2,0.7291645,2.35824,0.66608,0.663488333
COL9A3,1.7539425,4.0176675,1.3431825,0.229228667
COLEC10,0.10120975,0.1,0.1,0.1
COLEC11,0.14039635,0.0961448,0.1,0.184444917
COLEC12,1.594661325,1.73734,1.802323333,4.691514417
COLQ,0.087456425,0.3675235,0.356181,0.249214333
COMMD1,6.587685,9.602505,8.11774,7.500831667
COMMD10,4.3314975,2.45904,1.258558333,1.833941917
COMMD2,5.3647575,3.48439,2.694314,2.2980375
COMMD3,2.1676125,10.9097875,4.083803333,8.0872825
COMMD3-BMI1,1.687295,3.36783,2.84755,0.627882917
COMMD4,0.8904575,1.7396875,7.257973333,1.31821625
COMMD5,0.93468425,0.9571025,0.293295,1.475202417
COMMD6,2.166135,3.1243025,2.47167,2.785763083
COMMD7,3.3638305,4.3656775,4.342651667,4.767821667
COMMD8,1.00020775,0.98593275,0.551719833,1.250608083
COMMD9,2.7392225,2.803935,2.527857333,2.464110833
COMP,0.1,0.1,0.1,0.1
COMT,4.03518,4.2513025,6.511271667,3.3809035
COMTD1,0.1718155,0.1,0.1,0.102456417
COPA,7.2612275,10.77594,5.707113333,6.332630833
COPB1,21.7685,14.716725,15.69458333,14.52500333
COPB2,26.4381125,17.885,15.01794,23.24160833
COPE,1.2786635,0.73340325,3.898148333,1.126786833
COPG1,7.16142,6.5044725,4.017606667,5.3341775
COPG2,0.11125925,4.9614975,5.741151667,2.7351625
COPS2,6.4812125,9.0810475,7.560411667,4.819596667
COPS3,15.08955,9.3087425,10.75900667,6.051185
COPS4,13.3092925,11.001615,7.51456,15.038025
COPS5,18.680065,17.969475,11.62182,14.14015
COPS6,18.11965,14.1504,6.577763333,11.4269325
COPS7A,6.3568925,7.9834725,4.525058333,11.54589167
COPS7B,2.40425375,6.306415,7.982708333,4.23597
COPS8,7.88307,7.580415,2.703045,7.7179375
COPZ1,6.53201,7.71052,9.05217,10.39795083
COPZ2,0.87999925,0.866942,0.1,1.615448833
COQ10A,3.7685425,4.194545,5.193166667,9.271325833
COQ10B,6.3385925,7.793265,4.568746667,5.405525833
COQ2,3.111455,0.967495,2.620186667,1.22526225
COQ3,1.632758,3.2931,1.706056667,3.91989
COQ4,0.57015975,1.39881675,2.167255,1.15192525
COQ5,6.638,5.1055475,4.761945,7.037535833
COQ6,1.4167925,2.8229075,2.058365333,2.288888333
COQ7,1.4184635,1.271578,4.308153333,2.404616667
COQ9,3.6269425,4.777895,2.27248,7.284551667
CORIN,0.067714725,0.066218675,0.1,0.10372575
CORO1A,0.087189675,0.241266675,0.701309033,0.115223167
CORO1B,0.090080175,0.070331,1.2126159,0.126439417
CORO1C,16.1312525,16.0137,18.58203333,3.703939167
CORO2A,0.037026425,0.063912025,0.1,0.111916667
CORO2B,6.098895,7.8893325,14.21489833,7.063416667
CORO6,0.084544675,0.15622675,0.1,0.170765583
CORO7,0.08738615,0.2519495,0.360124667,0.1
CORO7-PAM16,0.078792375,0.1,0.309398333,0.100013167
CORT,0.1,0.1,0.659926667,0.200608
COTL1,6.7538475,6.988845,4.452893333,5.86805
COX10,0.77803625,0.585991,1.834903,0.809260417
COX11,3.0446375,3.66434,2.053038667,2.847150833
COX14,1.50553275,9.5782975,2.1427,9.983378333
COX15,2.07969925,3.1760475,2.468589833,3.6363475
COX16,3.378735,5.5023575,3.422103333,5.1497925
COX17,10.1481125,4.9401275,2.747665,2.612458333
COX18,0.59893675,0.9555835,0.440476667,0.987763583
COX19,0.5337535,0.850453,1.281688,0.344416
COX20,7.1380775,6.87281,7.588895,8.267288333
COX4I1,51.40675,66.1315,36.47385,67.28176667
COX4I2,0.1,0.1,0.1,0.109571417
COX4NB,4.67281075,3.7983025,3.7568,4.288668333
COX5A,25.170525,23.70145,9.605503333,40.6027
COX5B,26.304175,29.3629,11.08781667,28.95461667
COX6A1,44.106275,46.574525,23.98111667,67.3308
COX6A2,0.1,0.1,0.1,0.1
COX6B1,69.1415,89.625075,43.14296667,100.6787083
COX6B2,0.0893434,0.08749265,0.329436283,0.1
COX6C,23.8104,47.92845,23.81393333,46.725175
COX7A1,0.40713,0.68629575,0.719030667,0.931837083
COX7A2,26.256125,37.011175,12.19694833,35.17655
COX7A2L,6.31623,8.4672825,6.473925,10.81070917
COX7B,28.092,68.55795,29.484325,93.77245
COX7B2,0.1,0.1,0.1,0.16661425
COX7C,70.82795,161.155625,69.94758333,153.6264917
COX8A,19.36836,18.1207,25.52138333,22.99120833
COX8C,0.1,0.1441185,0.1,0.10359475
CP,2.6924625,0.5008265,0.1,0.1
CPA1,0.1,0.1,0.1,0.1
CPA2,0.085278225,0.2533175,0.18597,0.13534675
CPA3,0.1,0.087576125,0.1,0.1
CPA4,0.2801345,0.1,0.1,0.1
CPA5,0.09859945,0.1,0.1,0.1
CPA6,0.08179785,0.12369875,0.1,0.1
CPAMD8,0.0740882,0.1,0.262287833,0.1
CPB1,0.1,0.63837975,0.1,0.1
CPB2,0.073220575,0.4606615,0.1,0.119513167
CPD,7.615885,5.669815,1.455300167,2.353119167
CPE,58.606715,212.3446,16.022085,657.233
CPEB1,0.597762,2.6324725,0.114258333,1.104174417
CPEB2,3.83507375,5.885765,1.4118195,2.8939775
CPEB3,0.728753,2.8267125,0.196021167,4.485835833
CPEB4,10.4683175,17.37705,7.551473333,16.33483333
CPLX1,0.0727478,0.0824206,0.1,0.157518917
CPLX2,0.050291575,0.142694875,1.5000245,0.261246583
CPLX3,0.08139135,0.1,0.101546,0.13032375
CPLX4,0.1,0.1,0.1,0.1
CPM,1.2352805,3.794956,0.084607085,2.503685833
CPN1,0.1,0.1,0.1,0.1
CPN2,0.07909035,0.1,0.1,0.1
CPNE1,5.1933525,2.4866725,2.396106667,2.031934917
CPNE2,4.95183625,5.338415,9.368503333,1.913254833
CPNE3,14.9478875,10.421565,9.049148333,17.115225
CPNE4,3.2436075,0.122289625,0.671482667,0.12872925
CPNE5,0.55994775,0.866839125,0.962733333,0.142923917
CPNE6,1.08493285,1.60999575,0.08789155,5.051803333
CPNE7,0.0863956,0.1,0.385228333,0.103881
CPNE8,5.94988675,2.20284,0.405738667,4.1490075
CPNE9,0.073187675,0.1,0.1,0.1
CPO,0.1,0.13520765,0.1,0.20270675
CPOX,1.068680875,4.7730625,0.158852833,0.6609075
CPPED1,0.5164965,2.3423,0.129527333,0.528419083
CPQ,10.72106,12.63884,4.583385,17.9231475
CPS1,1.05854175,2.32585,0.370427333,1.38357125
CPS1-IT1,0.1,0.1,0.1,0.1
CPSF1,0.32288075,0.34873025,2.482017167,0.26517
CPSF2,7.4488475,6.2385875,5.120875,6.509765
CPSF3,15.5718325,6.4248975,12.71884,5.553034167
CPSF3L,0.7054985,0.5852735,2.916545,0.427385833
CPSF4,1.96127,1.60151,2.64588,1.633776667
CPSF4L,0.1,0.1,0.880151667,0.1
